year,month,Recession
1990,6,Savings and loan crisis
1990,7,Savings and loan crisis
1990,8,Savings and loan crisis
1990,9,Savings and loan crisis
1990,10,Savings and loan crisis
1990,11,Savings and loan crisis
1990,12,Savings and loan crisis
1991,1,Savings and loan crisis
1991,2,Savings and loan crisis
1991,3,Savings and loan crisis
2001,3,dot-com bubble
2001,4,dot-com bubble
2001,5,dot-com bubble
2001,6,dot-com bubble
2001,7,dot-com bubble
2001,8,dot-com bubble
2001,9,dot-com bubble
2001,10,dot-com bubble
2001,11,dot-com bubble
2001,12,dot-com bubble
2007,12,Great Recession
2008,1,Great Recession
2008,2,Great Recession
2008,3,Great Recession
2008,4,Great Recession
2008,5,Great Recession
2008,6,Great Recession
2008,7,Great Recession
2008,8,Great Recession
2008,9,Great Recession
2008,10,Great Recession
2008,11,Great Recession
2008,12,Great Recession
2009,1,Great Recession
2009,2,Great Recession
2009,3,Great Recession
2009,4,Great Recession
2009,5,Great Recession
2009,6,Great Recession
